"seed","truth","condition","id","ans","nor","delay_i","count_i","fea_i","delay_w1","delay_w1.5","delay_w2","delay_w2.5","delay_w3","delay_w3.5","delay_w4","delay_w4.5","delay_w5","delay_w5.5","delay_w6","delay_w6.5","delay_w7","count_w1","count_w1.5","count_w2","count_w2.5","count_w3","count_w3.5","count_w4","count_w4.5","count_w5","count_w5.5","count_w6","count_w6.5","count_w7","fea_w1","fea_w1.5","fea_w2","fea_w2.5","fea_w3","fea_w3.5","fea_w4","fea_w4.5","fea_w5","fea_w5.5","fea_w6","fea_w6.5","fea_w7"
1,"GG","reliable","exp1a_s1_GG_r","GG",1,0.667788814312276,0.813759578127379,0.740774196219828,0.383728150299676,0.612099102034575,0.773912181498038,0.773912181498038,0.773912181498038,0.773912181498038,0.773912181498038,0.773912181498038,0.773912181498038,0.773912181498038,0.773912181498038,0.773912181498038,0.773912181498038,0.343969849618774,0.556117782952755,0.688572782747275,0.432607289964197,0.700886078739248,0.904217900714688,0.976201898604654,0.975793955986397,0.968691048880299,0.976119739780614,0.954957001024643,0.919254551719855,0.864671831825389,0.363848999959225,0.584108442493665,0.731242482122656,0.603259735731118,0.737399130118643,0.839065041106363,0.875057040051346,0.874853068742218,0.871301615189169,0.875015960639326,0.86443459126134,0.846583366608946,0.819292006661714
1,"GG","reliable","exp1a_s1_GG_r","GN",1.72018844381103e-124,0.15824783996509,0.088587617670794,0.123417728817942,0.371705234425315,0.0417331744137436,0.0527656582798811,0.0527656582798811,0.0527656582798811,0.0527656582798811,0.0527656582798811,0.0527656582798811,0.0527656582798811,0.0527656582798811,0.0527656582798811,0.0527656582798811,0.0527656582798811,0.332009782199329,0.0217149660136994,0.00147338674362668,0.000546656135266162,0.00169859948877894,0.0039433252812742,0.00728083706495563,0.0122937633857884,0.00701742288781235,0.00427126008675447,0.00534370142910255,0.00830598107715426,0.0113069678418193,0.351857508312322,0.0317240702137215,0.0271195225117539,0.0266561572075736,0.02723212888433,0.0283544917805776,0.0300232476724183,0.0325297108328347,0.0298915405838467,0.0285184591833178,0.0290546798544918,0.0305358196785177,0.0320363130608502
1,"GG","reliable","exp1a_s1_GG_r","GP",6.23075326491185e-164,1.08858232565868e-09,0.00305824714819482,0.00152912411838857,2.65308298861569e-06,1.64610317054952e-14,2.08126313444397e-14,2.08126313444397e-14,2.08126313444397e-14,2.08126313444397e-14,2.08126313444397e-14,2.08126313444397e-14,2.08126313444397e-14,2.08126313444397e-14,2.08126313444397e-14,2.08126313444397e-14,2.08126313444397e-14,0,0,0,0,3.30072073182825e-10,4.38081936449636e-08,1.11530136420798e-06,7.92396698942988e-06,3.53002461032316e-06,1.01595245160693e-06,1.9097206913172e-06,3.93469736815495e-06,7.85140580232411e-06,1.32654149430784e-06,8.2305158527476e-15,1.04063156722198e-14,1.04063156722198e-14,1.65046442907085e-10,2.19041072287975e-08,5.57650692510303e-07,3.96198350512125e-06,1.7650123155679e-06,5.07976236209781e-07,9.54860356064917e-07,1.96734869448379e-06,3.92570291156837e-06
1,"GG","reliable","exp1a_s1_GG_r","NG",8.3502344912285e-69,0.140636344515996,0.0834911918995822,0.112063768207789,0.124227693865032,0.32407233531505,0.162259255861244,0.162259255861244,0.162259255861244,0.162259255861244,0.162259255861244,0.162259255861244,0.162259255861244,0.162259255861244,0.162259255861244,0.162259255861244,0.162259255861244,0.164876620641933,0.406302197478365,0.309292016883171,0.566129439844456,0.296680593515357,0.0914132986994742,0.0163841168670187,0.0117466830704182,0.0240665309215733,0.0194940193693916,0.0393834537891795,0.0715084715068341,0.121642712172375,0.144552157253482,0.365187266396707,0.235775636372208,0.36419434785285,0.2294699246883,0.126836277280359,0.0893216863641313,0.087002969465831,0.0931628933914086,0.0908766376153177,0.100821354825212,0.116883863684039,0.14195098401681
1,"GG","reliable","exp1a_s1_GG_r","NN",1.33429445322747e-192,0.0333269998886735,0.00908903069859944,0.0212080152936365,0.120335409414598,0.0220953882262161,0.0110629043607371,0.0110629043607371,0.0110629043607371,0.0110629043607371,0.0110629043607371,0.0110629043607371,0.0110629043607371,0.0110629043607371,0.0110629043607371,0.0110629043607371,0.0110629043607371,0.159143747539964,0.0158650535551812,0.000661813491621092,0.000715378910215267,0.000719006297545969,0.000398656531264634,0.000122198169797112,0.000147993273938234,0.000174343538235957,8.53010378435895e-05,0.000220379994146775,0.000646119195255283,0.00159067311331413,0.139739578477281,0.0189802208906986,0.00586235892617908,0.00588914163547617,0.00589095532914152,0.00573078044600085,0.00559255126526709,0.00560544881733765,0.00561862394948651,0.00557410269929033,0.00564164217744192,0.00585451177799618,0.0063267887370256
1,"GG","reliable","exp1a_s1_GG_r","NP",4.83299347272265e-232,2.29255470747923e-10,0.000313774124925034,0.000156887177090253,8.58905923505692e-07,8.71519819055965e-15,4.36359855187489e-15,4.36359855187489e-15,4.36359855187489e-15,4.36359855187489e-15,4.36359855187489e-15,4.36359855187489e-15,4.36359855187489e-15,4.36359855187489e-15,4.36359855187489e-15,4.36359855187489e-15,4.36359855187489e-15,0,0,0,0,1.39717397085235e-10,4.42885668154348e-09,1.87186973506689e-08,9.53893271363798e-08,8.77012815762634e-08,2.02895156842721e-08,7.875893523586e-08,3.06078652656452e-07,1.10454193256696e-06,4.29452961752846e-07,4.35759909527983e-15,2.18179927593745e-15,2.18179927593745e-15,6.98608803418934e-11,2.21443052257102e-09,9.35935085713372e-09,4.76946657499892e-08,4.3850642969931e-08,1.01447600239353e-08,3.93794697997293e-08,1.53039328510025e-07,5.5227096846528e-07
1,"GG","reliable","exp1a_s1_GG_r","PG",1.20853189247461e-95,1.02027753209579e-13,0.00152842825049166,0.000764214125296846,3.28497999659692e-12,9.72705398492936e-12,6.9941631953623e-14,6.9941631953623e-14,6.9941631953623e-14,6.9941631953623e-14,6.9941631953623e-14,6.9941631953623e-14,6.9941631953623e-14,6.9941631953623e-14,6.9941631953623e-14,6.9941631953623e-14,6.9941631953623e-14,0,0,1.34019257712888e-10,1.23358706593837e-06,1.56834803126694e-05,2.66542946639229e-05,9.74259885375163e-06,9.46559580186971e-06,4.66975878463709e-05,2.85186630857624e-05,9.29549447020261e-05,0.000278121550051292,0.000768798843405305,1.64248999829846e-12,4.86352699246468e-12,6.70445996724207e-11,6.16793567940002e-07,7.84174019130551e-06,1.33271473669323e-05,4.87129946184663e-06,4.73279793590567e-06,2.33487939581562e-05,1.4259331577852e-05,4.64774723859839e-05,0.000139060775060617,0.000384399421737623
1,"GG","reliable","exp1a_s1_GG_r","PN",1.93112828432693e-219,2.41778107327759e-14,0.000166387986244509,8.31939931343435e-05,3.18205547016539e-12,6.63194634881244e-13,4.76864990554673e-15,4.76864990554673e-15,4.76864990554673e-15,4.76864990554673e-15,4.76864990554673e-15,4.76864990554673e-15,4.76864990554673e-15,4.76864990554673e-15,4.76864990554673e-15,4.76864990554673e-15,4.76864990554673e-15,0,0,2.867702625669e-13,1.55879929354867e-09,3.8008961013029e-08,1.16240293318351e-07,7.26635288712098e-08,1.19254474143638e-07,3.3828816952271e-07,1.24790660819125e-07,5.20152708774735e-07,2.51298438234858e-06,1.00532751030648e-05,1.59102773508269e-12,3.31597317440622e-13,1.45769456236223e-13,7.79402031099287e-10,1.90044828908395e-08,5.81201490435005e-08,3.63317668199299e-08,5.96272394561442e-08,1.6914408714568e-07,6.23953327938873e-08,2.60076356771693e-07,1.25649219355862e-06,5.02663755391674e-06
1,"GG","reliable","exp1a_s1_GG_r","PP",6.99480565970026e-259,1.66318462499246e-22,5.74409378878591e-06,2.87204689439296e-06,2.2712236618835e-17,2.61587287932243e-25,1.88092323170511e-27,1.88092323170511e-27,1.88092323170511e-27,1.88092323170511e-27,1.88092323170511e-27,1.88092323170511e-27,1.88092323170511e-27,1.88092323170511e-27,1.88092323170511e-27,1.88092323170511e-27,1.88092323170511e-27,0,0,0,0,7.38590623862383e-15,1.29136627485933e-12,1.11308263260414e-11,7.68656827695572e-11,1.70171526340579e-10,2.96824298267385e-11,1.85891072652731e-10,1.19044733470897e-09,6.98085849193178e-09,1.13561183094175e-17,1.30793643966122e-25,9.40461615852553e-28,9.40461615852553e-28,3.69295311931285e-15,6.45683137429668e-13,5.56541316302069e-12,3.84328413847786e-11,8.50857631702894e-11,1.48412149133693e-11,9.29455363263654e-11,5.95223667354487e-10,3.49042924596589e-09
1,"GG","unreliable","exp1a_s1_GG_u","GG",0.782010337107942,0.749084456762207,0.554666990859138,0.651875723810672,0.397816006710787,0.644823960009227,0.845073470917135,0.845073470917135,0.845073470917135,0.845073470917135,0.845073470917135,0.845073470917135,0.845073470917135,0.845073470917135,0.845073470917135,0.845073470917135,0.845073470917135,0.348995487894352,0.533576242640609,0.751079689309122,0.817879521980633,0.72909110079087,0.611908029490973,0.717151021075664,0.741245211372524,0.681618832892695,0.616142149119494,0.537932023309403,0.458457632843063,0.384507737834539,0.373405747302569,0.589200101324918,0.798076580113128,0.831476496448884,0.787082285854003,0.728490750204054,0.781112245996399,0.79315934114483,0.763346151904915,0.730607810018315,0.691502747113269,0.651765551880099,0.614790604375837
